PUBLICATION	Lucius Times	Technology
PUBLICATION	Freya Monthly	Culinary
PUBLICATION	Dean's Diner	Culinary
PUBLICATION	Pizza Time	Fiction
BOOK	The Body	Fiction	Stephen King	Scribner	1982
BOOK	Dracula	Fiction	Bram Stoker	Harper Muse	1897
BOOK	Heir to the Empire	Science Fiction	Timothy Zahn	Del Rey	1991
BOOK	The Three-body Problem	Science Fiction	Cixin Liu	Tor	2014
MAGAZINE	Phrack	Technology	72	1	Phrack
MAGAZINE	Soups	Culinary	1	23	Food to Love
MAGAZINE	Poetry	Poetry	1	221	Poetry Foundation
MAGAZINE	Poetry	Poetry	2	216	Poetry Foundation
RESEARCH	Code Breaking in the Pacific	Technology	Peter Donovan,John Mack	Spriger	2014
RESEARCH	The Journal of Economics	Economics	George J. Stigler,Stephen M. Stigler,Claire Friedland	Journal of Political Economy	1995
RESEARCH	Reason and Fiat in Case Law	Law	Lon L. Fuller	Harvard Law Review	1945
RESEARCH	Cryptography Education for Students	Technology	M. T. Sakalli,E. Bulus,F. Buyuksaracoglu	IEEE	2004
RESEARCH	Let Students Take the Wheel: Introducing Post-Quantum Cryptography with Active Learning	Technology	Ainaz Jamshidi,Khushdeep Kaur,Aryya Gangopadhyay,Lei Zhang	arXiv	2024
MAGAZINE	Poetry	Poetry	3	221	Poetry Foundation
PUBLICATION	Dice Roller	Fantasy
BOOK	The Professional Chef	Culinary	The Culinary Institute of America	Wiley	2006
MUSIC	Citadel	Metal	Ne Obliviscaris	LP
MUSIC	eternal	Grunge	Lefty	Single
MUSIC	Finding God before God Finds Us	Metal	Bad Omens	LP
MUSIC	Piano Collections Nier Gestalt & Replicant	Classical	SQUARE ENIX MUSIC	LP
MUSIC	Friday Pilots Club on Audiotree Live	Rock	Friday Pilots Club	EP
BOARDGAME	Root	Asymmetric Strategy	2	6	60	120
BOARDGAME	Unmatched	Deck Builder	2	4	30	90
BOARDGAME	Sherlock Holmes Consulting Detective	Puzzle Adventure	1	10	90	180
BOARDGAME	Codenames	Team Wordplay	4	12	20	40
BOARDGAME	Ricochet Robots	Strategy	2	99	20	60